scientific_name,observed_on,latitude,longitude,source,latitude-old,longitude-old,locality,institutionCode,x,establishment_means
Polypogon maritimus,1/1/2019,37.747071,-119.548585,voucher,37.747071,-119.548585,"MIRROR LAKE, YOSEMITE VALLEY, YOSEMITE NATIONAL PARK, CALIFORNIA. FOUND IN DISTURBED, COMPACTED SOIL AT THE BEGINNING OF A TRAIL GOING INTO THE DRY LAKEBED. ABOUT 50 INDIVIDUALS FOUND.",YM,correct,introduced
Potamogeton alpinus,1/1/2020,37.651369,-119.632418,voucher,37.651369,-119.632418,"WESTFALL MEADOW, YOSEMITE NATIONAL PARK",YM,correct,native
Potentilla indica,7/27/2019,37.74819098,-119.5932631,iNat,NA,NA,NA,NA,NA,introduced
Prunus cerasifera,1/1/2020,37.74077,-119.59071,voucher,37.74077,-119.59071,"Yosemite National Park: Yosemite Valley, vicinity of the Chapel; Half Dome 7.5' USGS quadrangle",UCJEPS,correct,introduced
Prunus persica,1/1/2020,37.5377,-119.65773,voucher,37.5377,-119.65773,"Yosemite National Park: Wawona, on the golf course near the northeastern fringe of green #2 bordering the fence along Highway 41; Wawona, CA 7.5' USGS quadrangle.",UCJEPS,correct,introduced
Psilocarphus brevissimus,1/1/2020,37.924876,-119.817856,voucher,37.924876,-119.817856,"Outcrop on North side of Tuolumne River near river mile 115, Poopenaut Valley. Datum: NAD83. GPS Error: 2 M.",YM,correct,native
Ranunculus glaberrimus,1/1/2020,37.89876,-119.23558,voucher,37.89876,-119.23558,"Yosemite National Park, Mt. Dana, along the creek draining the southwestern flank of the mountain; Mount Dana, CA USGS quadrangle",UCJEPS,correct,native
Ranunculus muricatus,1/1/2020,37.67895,-119.75888,voucher,37.67895,-119.75888,"western border Yosemite National Park, along the Merced River Canyon on the terrace of the ridge adjacent to Highway 140, just ca. 10 meters inside the park boundary",UCJEPS,correct,introduced
Ranunculus repens,1/1/2019,37.8740571,-119.3661482,voucher,NA,NA,"Tuolumne Meadows, Yosemite National Park; Sierra Nevada",CAS,added,introduced
Robinia pseudoacacia,1/1/2020,37.74088,-119.591,voucher,37.74088,-119.591,"Yosemite National Park: Yosemite Valley, vicinity of the Chapel, Yosemite Village area; Half Dome, CA 7.5' USGS quadrangle.",UCJEPS,correct,introduced
Rorippa curvipes,1/1/2020,37.9166936,-119.6598975,voucher,NA,NA,Headwaters of Hetch Hetchy Reservoir on the North side of the Tuolumne River. Datum: NAD83.,YM,added,native
Rubus armeniacus,5/5/2014,37.743698,-119.56671,iNat,NA,NA,NA,NA,NA,introduced
Rubus ulmifolius,1/1/2019,37.740453,-119.574865,voucher,37.740453,-119.574865,"LOWER RIVER CAMPGROUND, YOSEMITE VALLEY, YOSEMITE NATIONAL PARK, CALIFORNIA; NEAR AMPHITHEATRE; SANDY SOIL DEPOSITED IN 1997 FLOOD.",YM,correct,introduced
Rumex pulcher,1/1/2020,37.747686,-119.727917,voucher,37.747686,-119.727917,OLD BIG OAK FLAT ROAD,YM,correct,introduced
Rumex utahensis,1/1/2020,37.87473,-119.226602,voucher,37.87473,-119.226602,Southwest slope of Mount Gibbs. Sky island plot GIB-R12-3311,UCJEPS,correct,native
Sagina procumbens,1/1/2020,37.746,-119.57459,voucher,37.746,-119.57459,"Yosemite National Park, Yosemite Valley, lawn on the southwest side of the Ahwahnee Hotel; Half Dome CA 7.5' USGS quadrangle.",UCJEPS,correct,introduced
Sanicula bipinnata,5/8/2021,37.52924664,-119.6367545,iNat,NA,NA,NA,NA,NA,native
Saponaria officinalis,1/1/2020,37.9747222,-119.8779402,voucher,37.97425,-119.91404,"Lake Eleanor; Yosemite National Park, at the Lake Eleanor Ranger Station. USGS Quadrangle: meadow area below the ordinary high water mark of the reservoir.",YM,moved,introduced
Schoenoplectus subterminalis,1/1/2020,37.949061,-119.830568,voucher,37.949061,-119.830568,"SWAMP LAKE, YOSEMITE NATIONAL PARK",YM,correct,native
Scleranthus annuus,1/1/2020,37.69735,-119.75879,voucher,37.69735,-119.75879,"Foresta, little used dirt road on far western margin of the settled area, Yosemite National Park",UCJEPS,correct,introduced
Sedum album,1/1/2019,37.7454712,-119.5817228,voucher,37.743056,-119.58,"Yosemite Valley, Yosemite National park, ruderal disturbed margin of paths and parking area in employee housing tents on southeast edge of Yosemite Village area",UCJEPS,moved,introduced
Senecio vulgaris,1/1/2020,37.74705,-119.58788,voucher,37.74705,-119.58788,"Yosemite National Park: Yosemite Valley, Yosemite Village, Ranger Club, growing ca. 50 feet S of the S end of the building",YM,correct,introduced
Sisymbrium erysimoides,1/1/2020,37.72451,-119.63682,voucher,37.72451,-119.63682,"Yosemite Valley. Valley Loop Road, Northside Drive at El Capitan Meadow.",UCJEPS,correct,introduced
Sisymbrium irio,1/1/2020,37.75043,-119.58944,voucher,37.75043,-119.58944,"Yosemite National Park: Yosemite Valley, vicinity of the government stables in Yosemite Village; Half Dome, CA 7.5' USGS quadrangle.",UCJEPS,correct,introduced
Solanum americanum,9/6/2021,37.74188611,-119.5649944,iNat,NA,NA,NA,NA,NA,native
Solanum nigrum,1/1/2020,37.74417,-119.57769,voucher,37.74417,-119.57769,"Yosemite National Park: Yosemite Valley, western end of the former site of Lower River Campground (situated S of Northside Drive directly opposite Ahwahnee Meadow); Half Dome, CA 7.5' USGS quadrangle",UCJEPS,correct,introduced
Solidago stricta,1/1/2020,37.53794,-119.66037,voucher,37.53794,-119.66037,"Yosemite National Park: Wawona, along the eastern edge of the golf course, near the red tee for the 8th hole, in the rough; Wawona, CA 7.5' USGS quadrangle.",UCJEPS,correct,introduced
Sonchus asper,1/1/2019,37.740453,-119.574865,voucher,37.740453,-119.574865,"LOWER RIVER CAMPGROUND, YOSEMITE VALLEY, YOSEMITE NATIONAL PARK, CALIFORNIA; 50M WEST OF ENTRANCE; LEVEL; SANDY SOIL; AREA FLOODED IN 1997.",YM,correct,introduced
Sonchus oleraceus,1/1/2019,37.740453,-119.574865,voucher,37.740453,-119.574865,"LOWER RIVER CAMPGROUND, YOSEMITE VALLEY, YOSEMITE NATIONAL PARK, CALIFORNIA; EAST OF BATHROOM, NEAR ROAD; SANDY SOIL (SAND FROM 1997 FLOOD).",YM,correct,introduced
Stenotus acaulis,1/1/2020,38.15679,-119.62469,voucher,38.15679,-119.62469,"Yosemite National Park; Just north of saddle on ridge, 1.1 km north of Bigelow Peak",UCJEPS,correct,native
Symphoricarpos albus,9/2/2019,37.71331787,-119.6863251,iNat,NA,NA,NA,NA,NA,native
Syringa vulgaris,1/1/2020,37.74077,-119.59071,voucher,37.74077,-119.59071,"Yosemite National Park: Yosemite Valley, vicinity of the Chapel; Half Dome 7.5' USGS quadrangle.",UCJEPS,correct,introduced
Tanacetum parthenium,1/1/2019,37.542255,-119.648084,voucher,37.542255,-119.648084,"WAWONA, YOSEMITE NATIONAL PARK, CALIFORNIA. JUST OFF CHILNUALNA FALLS ROAD, APPROX. 200M WEST OF LIBRARY. S SIDE OF ROAD, IMMEDIATELY ADJACENT TO A HOUSE.",YM,correct,introduced
Torilis arvensis,1/1/2020,37.95866,-119.77857,voucher,37.95866,-119.77857,"Yosemite National Park: Hetch Hetchy Valley, trail from O'Shaughnessy Dam to Tueeulala Falls (north side of the reservoir); Lake Eleanor, CA 7.5' USGS quadrangle.",UCJEPS,correct,introduced
Torilis nodosa,1/1/2020,37.677241,-119.753064,voucher,37.677241,-119.753064,"N OF EL PORTAL ROAD BETWEEN THE PARK BOUNDARY AND ARCH ROCK ENTR. STA., YOSEMITE NATIONAL PARK",YM,correct,introduced
Toxicoscordion exaltatum,1/1/2020,37.563416,-119.687819,voucher,37.563416,-119.687819,"WEST-FACING RIDGE E OF WAWONA ROAD, APPROX. 4 KM NW OF WAWONA/2.3 KM W OF TURNER RIDGE, YOSEMITE NATIONAL PARK",YM,correct,native
Tragopogon dubius,1/1/2019,37.740453,-119.574865,voucher,37.740453,-119.574865,"LOWER RIVER CAMPGROUND, YOSEMITE VALLEY, YOSEMITE NATIONAL PARK, CALIFORNIA. 100M N OF ENTRANCE TO CAMPGROUND; SANDY SOIL FROM MERCED RIVER FLOOD OF 1997.",YM,correct,introduced
Tribulus terrestris,1/1/2020,37.73976,-119.59415,voucher,37.73976,-119.59415,"Yosemite National Park, Yosemite Valley, along the road paralleling south bank of the Merced River 0.4 miles downstream from the Sentinel Bridge, ca. 0.2 miles downstream from the confluence of Yosemite Creek",DWT,correct,introduced
Trifolium albopurpureum,4/17/2021,37.96002,-119.7847667,iNat,NA,NA,NA,NA,NA,native
Trifolium dubium,1/1/2020,37.69735,-119.75879,voucher,37.69735,-119.75879,"Foresta, little used dirt road on far western margin of the settled area, Yosemite National Park",UCJEPS,correct,introduced
Trifolium hirtum,1/1/2020,37.7046,-119.73337,voucher,37.7046,-119.73337,"Yosemite National Park: Foresta, at the junction of Foresta Road and the Old Coulterville Road, vicinity of a site where dumpsters are stationed; El Capitan, CA 7.5' USGS quadrangle.",UCJEPS,fairly correct,introduced
Urtica urens,1/1/2019,37.748656,-119.589142,voucher,37.748656,-119.589142,"GOVERNMENT STABLES, YOSEMITE VALLEY, YOSEMITE NATIONAL PARK, CALIFORNIA. W SIDE OF CORRAL BETWEEN CORRAL AND TRAIL. GROWING IN SHADED, SANDY SOIL IN ASSOCIATION WITH SEVERAL NON-NATIVE GRASSES.",YM,correct,introduced
Utricularia intermedia,1/1/2020,37.735786,-119.5316,voucher,37.735786,-119.5316,Lost Lake.,UCJEPS,correct,native
Vaccinium parvifolium,1/1/2020,37.50832,-119.66043,voucher,37.50832,-119.66043,"Yosemite National Park, Big Creek, about 1 stream mile above the crossing of the Chowchill Mountain Road, westerly side of the stream; Wawona, CA 7.5' USGS quadrangle",UCJEPS,correct,native
Valeriana brachystemon,1/1/2020,37.53917,-119.6569,voucher,37.53917,-119.6569,"Wawona, Yosemite National Park, margin of sandy flat on N side of South Fork Merced River near Highway 140 bridge",UCJEPS,correct,NA
Verbascum blattaria,6/29/2018,37.74876738,-119.5810091,iNat,NA,NA,NA,NA,NA,introduced
Veronica arvensis,1/1/2019,37.736704,-119.563729,voucher,37.736704,-119.563729,"UPPER PINES CAMPGROUND, YOSEMITE VALLEY, YOSEMITE NATIONAL PARK, CALIFORNIA. NEAR CAMP 144 IN FREQUENTLY DISTURBED, DRY SITE.",YM,correct,introduced
Veronica filiformis,1/1/2020,37.53665,-119.65456,voucher,37.53665,-119.65456,"YOSEMITE NATIONAL PARK: Wawona, Wawona Hotel compound; lawn on the SW (shaded) portion of the Washburn building (directly E of the Hotel itself, proper).",DWT,correct,introduced
Vicia sativa,1/1/2020,37.7482,-119.58657,voucher,37.7482,-119.58657,"Yosemite National Park: Yosemite Valley, Yosemite Village, vicinity of the southwestern end of the Post Office building; Half Dome 7.5' USGS quadrangle.",UCJEPS,correct,introduced
Vinca major,1/1/2020,37.54942,-119.63493,voucher,37.54942,-119.63493,"Yosemite National Park: Wawona, along Loop Road; Wawona, CA 7.5' USGS quadrangle.",UCJEPS,correct,introduced
Viola odorata,1/1/2020,37.74724,-119.57478,voucher,37.74724,-119.57478,"Yosemite National Park: Yosemite Valley, Yosemite Village, grounds of the Ahwahnee Hotel; Half Dome, CA 7.5' USGS quadrangle.",UCJEPS,correct,introduced
Xanthium strumarium,1/1/2020,37.74016,-119.5948,voucher,37.74016,-119.5948,"Yosemite National Park, Yosemite Valley, floodpain of the Merced River situated between Southside Drive and the river, about 0.4 miles W of the Chapel; Half Dome, CA USGS quadrangle",UCJEPS,correct,introduced
Ivesia shockleyi,7/3/2022,38.09219,-119.3778,iNat,NA,NA,NA,NA,NA,native
Plectritis congesta,1/1/2002,37.53917,-119.6569,voucher,37.53917,-119.6569,"Wawona, Yosemite National Park, margin of sandy flat on N side of South Fork Merced River near Highway 140 bridge",,,introduced
Hedera helix,1/1/2010,37.74539,-119.58159,voucher,37.74539,-119.58159,"YOSEMITE NATIONAL PARK: Yosemite Valley, Yosemite Village, far eastern margin Ahwahnee Meadow, bordering the far southerly end of the Tecoya housing area",,,introduced
Taeniatherum caput-medusae,6/21/2019,37.84088,-119.8356,iNat,NA,NA,NA,NA,NA,introduced
Verbascum virgatum,10/1/2021,37.73732,-119.60374,iNat,NA,NA,NA,NA,NA,introduced
