accepted_name,scientific_name,taxonomic_status,family,broader,establishment_means,count_RG,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,iNat_needsID_only,final_list,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,year_first_voucher,year_last_voucher,date_first_iNat_obs,date_last_iNat_obs,notes,iNat_needsID_only_notes
Almaleea paludosa,Almaleea paludosa,accepted,Fabaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1981,1981,,,,none
Aotus ericoides,Aotus ericoides,accepted,Fabaceae,3.dicot,native,19,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1887,1984,2016,2023,,
Bossiaea ensata,Bossiaea ensata,accepted,Fabaceae,3.dicot,native,20,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1887,2012,2014,2023,,
Bossiaea heterophylla,Bossiaea heterophylla,accepted,Fabaceae,3.dicot,native,60,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1890,2006,2018,2024,,
Bossiaea obcordata,Bossiaea obcordata,accepted,Fabaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1840,1964,,,,none
Bossiaea prostrata,Bossiaea prostrata,accepted,Fabaceae,3.dicot,native,,,1,,,1,,,1,,1,XX-not in graphics,"add, needsID observation that likely correct",XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,2015,2015,,,,yes_correct
Bossiaea rhombifolia,Bossiaea rhombifolia,accepted,Fabaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1915,1915,,,,none
Bossiaea scolopendria,Bossiaea scolopendria,accepted,Fabaceae,3.dicot,native,1,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1960,1963,2021,2021,,
Bossiaea stephensonii,Bossiaea stephensonii,accepted,Fabaceae,3.dicot,native,87,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1888,1992,2019,2024,,
Castanospermum australe,Castanospermum australe,accepted,Fabaceae,3.dicot,out-of-range,,,,1,,,,,,,,databasing discrepancy,"remove, horticultural record",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-no voucher, not in protected area",,,,,clearly planted individual,
Daviesia acicularis,Daviesia acicularis,accepted,Fabaceae,3.dicot,native,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Daviesia alata,Daviesia alata,accepted,Fabaceae,3.dicot,native,29,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1892,1994,2011,2023,,
Daviesia corymbosa,Daviesia corymbosa,accepted,Fabaceae,3.dicot,native,27,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1886,2004,2016,2023,,
Daviesia ulicifolia,Daviesia ulicifolia,accepted,Fabaceae,3.dicot,native,8,1,,1,1,,1,,,,1,retain exact name,retain exact name,retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2020,2023,,
Desmodium rhytidophyllum,Desmodium rhytidophyllum,accepted,Fabaceae,3.dicot,native,,1,,,1,,,,,,1,XX-not in graphics,"add, needsID observation that likely correct",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,yes_correct
Desmodium varians,Desmodium varians,accepted,Fabaceae,3.dicot,native,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Dillwynia elegans,Dillwynia elegans,accepted,Fabaceae,3.dicot,native,,,,1,,,,,,,,identification error,"remove, incorrect identification",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-no voucher, not in protected area",,,,,"Dillwynia is hard, but both iNat RG obs seem misidentified to me (especially one of them)",
Dillwynia floribunda,Dillwynia floribunda,accepted,Fabaceae,3.dicot,native,22,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1888,2005,2016,2023,,
Dillwynia glaberrima,Dillwynia glaberrima,accepted,Fabaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1938,1975,,,,yes_unsure
Dillwynia retorta,Dillwynia retorta,accepted,Fabaceae,3.dicot,native,25,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1896,2015,2018,2023,,
Dillwynia sericea,Dillwynia sericea,accepted,Fabaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1893,1932,,,,yes_unsure
Dillwynia sericea,Dillwynia rudis,synonym,Fabaceae,3.dicot,native,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,taxonomic or nomenclatural error,"remove, taxa lumped using iNaturalist taxonomy",XX-synonym,XX-synonym,,,,,"subspecies of sericea (=D. sericea subsp. rudis), so a species gets lost here",
Dillwynia trichopoda,Dillwynia trichopoda,accepted,Fabaceae,3.dicot,native,,,1,,,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,1964,1964,,,,none
Dipogon lignosus,Dipogon lignosus,accepted,Fabaceae,3.dicot,introduced,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Erythrina x sykesii,Erythrina x sykesii,accepted,Fabaceae,3.dicot,introduced,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Genista monspessulana,Genista monspessulana,accepted,Fabaceae,3.dicot,introduced,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Glycine clandestina,Glycine clandestina,accepted,Fabaceae,3.dicot,native,8,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1910,1910,2020,2024,,
Glycine microphylla,Glycine microphylla,accepted,Fabaceae,3.dicot,native,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Glycine tabacina,Glycine tabacina,accepted,Fabaceae,3.dicot,native,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,yes_unsure
Gompholobium glabratum,Gompholobium glabratum,accepted,Fabaceae,3.dicot,native,11,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1906,2020,2020,2022,1902 voucher seems to be incorrectly placed into Royal based on the locality notes,
Gompholobium grandiflorum,Gompholobium grandiflorum,accepted,Fabaceae,3.dicot,native,22,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1970,1987,2016,2023,,
Gompholobium huegelii,Gompholobium huegelii,accepted,Fabaceae,3.dicot,native,,,,1,,,,,,,,identification error,"remove, incorrect identification",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-no voucher, not in protected area",,,,,,
Gompholobium inconspicuum,Gompholobium inconspicuum,accepted,Fabaceae,3.dicot,native,,1,1,,1,1,,,1,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,2009,2009,,,,none
Gompholobium latifolium,Gompholobium latifolium,accepted,Fabaceae,3.dicot,native,5,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1961,1987,2020,2023,,
Gompholobium minus,Gompholobium minus,accepted,Fabaceae,3.dicot,native,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Hardenbergia violacea,Hardenbergia violacea,accepted,Fabaceae,3.dicot,native,46,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1917,2008,2004,2023,,
Hovea linearis,Hovea linearis,accepted,Fabaceae,3.dicot,native,10,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1888,1946,2019,2023,,
Hovea longifolia,Hovea longifolia,accepted,Fabaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1891,1936,,,,none
Indigofera australis,Indigofera australis,accepted,Fabaceae,3.dicot,native,21,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1924,1936,2004,2023,,
Jacksonia scoparia,Jacksonia scoparia,accepted,Fabaceae,3.dicot,native,,,1,,,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,1899,1899,,,"the 1899 voucher is interesting location-wise. The locality was only given at the time as 'Heathcote'. There have been a lot of these thus far, ie 1800s/early 1900s vouchers with location given only as Heathcote, and they have generally all been geolocated on the Royal side of Heathcote. I have accepted all of these as legitimate locations given they are effectively non-falsifiable. For this particular record, however, someone has written in pencil on the sheet a set of coordinates (who, when, totally unclear, wasn't the collector though); when searching them, it geolocates the voucher just outside of Royal, into the middle of a suburban backyard just on the western edge. Given this pencil annotation was clearly not made by the original collector, I have no idea on what basis those coordinates were produced (the spot doesn't even seem to correspond to a notable landmark or the centroid of anywhere), so I am disregarding them for now",none
Kennedia prostrata,Kennedia prostrata,accepted,Fabaceae,3.dicot,native,11,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1904,1998,2004,2023,,
Kennedia rubicunda,Kennedia rubicunda,accepted,Fabaceae,3.dicot,native,30,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1952,2004,2019,2023,,
Lotus angustissimus,Lotus angustissimus,accepted,Fabaceae,3.dicot,introduced,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Medicago lupulina,Medicago lupulina,accepted,Fabaceae,3.dicot,introduced,,,,,,1,,,1,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",geographic error,"add, coordinates erroneously outside protected area or missing coordinates",2002,2002,,,"2002 voucher geolocated just outside the park, but inside Royal based on notes",none
Medicago polymorpha,Medicago polymorpha,accepted,Fabaceae,3.dicot,introduced,,,,,,1,,,1,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",geographic error,"add, coordinates erroneously outside protected area or missing coordinates",2002,2002,,,"2002 voucher geolocated just outside the park, but inside Royal based on notes",none
Mirbelia rubiifolia,Mirbelia rubiifolia,accepted,Fabaceae,3.dicot,native,44,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1896,2012,2014,2024,,
Mirbelia speciosa,Mirbelia speciosa,accepted,Fabaceae,3.dicot,native,1,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1898,1965,2020,2020,"there are apparently two 1770 vouchers from inside the park, but this is an error due to a systemic error that occurs for some records provided by BioNet, so I've discarded them. The 1814 voucher is also not correct",
Oxylobium cordifolium,Oxylobium cordifolium,accepted,Fabaceae,3.dicot,native,,1,1,,1,1,,,1,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,2007,2007,,,,none
Oxytes brachypoda,Oxytes brachypoda,accepted,Fabaceae,3.dicot,native,,,1,,1,,,,,,1,XX-not in graphics,"add, needsID observation that likely correct","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",geographic error,"remove, coordinates erroneously inside protected area",,,,,"1898 voucher from Royal, but locality notes indicate incorrect geocoordination, actually from outside the park",yes_correct
Oxytes brachypoda,Desmodium brachypodum,synonym,Fabaceae,3.dicot,native,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,
Pararchidendron pruinosum,Pararchidendron pruinosum,accepted,Fabaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1977,1985,,,,none
Paraserianthes lophantha ,Paraserianthes lophantha ,accepted,Fabaceae,3.dicot,introduced,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Phyllota grandiflora,Phyllota grandiflora,accepted,Fabaceae,3.dicot,native,1,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1938,1938,2022,2022,,
Phyllota phylicoides,Phyllota phylicoides,accepted,Fabaceae,3.dicot,native,24,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1898,2012,2020,2023,,
Platylobium formosum,Platylobium formosum,accepted,Fabaceae,3.dicot,native,43,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1971,1971,2018,2024,"the 1843 voucher from Royal is actually an incorrect duplicate of a P. parviflorum record fed back into the ALA by BioNet with the ID incorrectly changed; another pervasive BioNet error. Not only that, but the duplication also incorrectly moved the coordinates, it shouldn't even be in Royal. The 1964 voucher is in the same boat, BioNet error (but coordinates are correct in Royal as an aside)",
Platylobium parviflorum,Platylobium parviflorum,accepted,Fabaceae,3.dicot,native,,,1,,,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,1964,1964,,,,none
Psoralea pinnata,Psoralea pinnata,accepted,Fabaceae,3.dicot,introduced,1,1,1,,1,1,1,1,,,1,databasing discrepancy,"add, observations lost due manually obscured coordinates",retain exact name,retain exact name,retain exact name,retain exact name,1913,1940,2010,2010,"the iNat RG record had a large enough coordinate uncertainty that the circle broke the edges of Royal, and thus excluded it from my iNat download. I confirmed that the record was definitely in Royal though",
Pullenia gunnii,Pullenia gunnii,accepted,Fabaceae,3.dicot,native,3,,,1,1,,1,,,,1,retain exact name,retain exact name,"retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2020,2023,,
Pullenia gunnii,Desmodium gunnii,synonym,Fabaceae,3.dicot,native,,1,,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,
Pultenaea aristata,Pultenaea aristata,accepted,Fabaceae,3.dicot,native,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Pultenaea blakelyi,Pultenaea blakelyi,accepted,Fabaceae,3.dicot,native,7,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1893,2020,2016,2021,,
Pultenaea daphnoides,Pultenaea daphnoides,accepted,Fabaceae,3.dicot,native,46,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1896,2015,2016,2024,,
Pultenaea dentata,Pultenaea dentata,accepted,Fabaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1976,1976,,,,none
Pultenaea ferruginea,Pultenaea ferruginea,accepted,Fabaceae,3.dicot,native,,,1,,,1,,,1,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,2006,2006,,,,yes_unsure
Pultenaea flexilis,Pultenaea flexilis,accepted,Fabaceae,3.dicot,native,1,1,,1,1,,1,,,,1,retain exact name,retain exact name,retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2021,2021,,
Pultenaea hispidula,Pultenaea hispidula,accepted,Fabaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"add, needsID observation that likely correct",retain exact name,retain exact name,retain exact name,retain exact name,1921,1983,,,"there's apparently a 1770 voucher from inside the park, but this is an error due to a systemic error that occurs for some records provided by BioNet, so I've discarded it",yes_correct
Pultenaea linophylla,Pultenaea linophylla,accepted,Fabaceae,3.dicot,native,10,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1888,2005,2020,2024,,
Pultenaea polifolia,Pultenaea polifolia,accepted,Fabaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1920,1921,,,,none
Pultenaea retusa,Pultenaea retusa,accepted,Fabaceae,3.dicot,native,1,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1924,1924,2022,2022,,
Pultenaea scabra,Pultenaea scabra,accepted,Fabaceae,3.dicot,native,,1,,1,1,,,,,,1,identification error,"remove, incorrect identification",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,
Pultenaea stipularis,Pultenaea stipularis,accepted,Fabaceae,3.dicot,native,94,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1888,2006,2003,2024,"there are apparently two 1770 vouchers from inside the park, but this is an error due to a systemic error that occurs for some records provided by BioNet, so I've discarded them",
Pultenaea tuberculata,Pultenaea tuberculata,accepted,Fabaceae,3.dicot,native,57,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1893,2020,2004,2023,,
Pultenaea villosa,Pultenaea villosa,accepted,Fabaceae,3.dicot,native,7,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1985,1985,2020,2021,,
Senna pendula,Senna pendula,accepted,Fabaceae,3.dicot,introduced,15,1,,1,1,,1,,,,1,retain exact name,retain exact name,retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,1988,2024,,
Senna septemtrionalis,Senna septemtrionalis,accepted,Fabaceae,3.dicot,introduced,1,1,,1,1,,1,,,,1,"retain, restricted license","retain, but restricted license",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2024,2024,,
Sphaerolobium minus,Sphaerolobium minus,accepted,Fabaceae,3.dicot,native,16,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1892,1963,2020,2023,"there are apparently two 1770 vouchers from inside the park, but this is an error due to a systemic error that occurs for some records provided by BioNet, so I've discarded them",
Sphaerolobium vimineum,Sphaerolobium vimineum,accepted,Fabaceae,3.dicot,native,1,1,1,1,1,1,1,1,,,1,"retain, restricted license","retain, but restricted license",retain exact name,retain exact name,retain exact name,retain exact name,1964,1964,2022,2022,,
Swainsona reticulata,Swainsona reticulata,accepted,Fabaceae,3.dicot,native,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,"out of interest, there is a voucher currently geolocated far into the ocean for which the locality notes say Audley. However, when checking the sheet itself, the location is actually written as Walcha, nowhere near Audley, and so not in Royal anyway",none
Tephrosia grandiflora,Tephrosia grandiflora,accepted,Fabaceae,3.dicot,introduced,,,,,,1,,,1,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",geographic error,"add, coordinates erroneously outside protected area or missing coordinates",1993,1993,,,"voucher from Royal, but had been geolocated just outside the park",none
Trifolium campestre,Trifolium campestre,accepted,Fabaceae,3.dicot,introduced,,,,,,1,,,1,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",geographic error,"add, coordinates erroneously outside protected area or missing coordinates",2002,2002,,,"2002 voucher geolocated just outside the park, but inside Royal based on notes",none
Trifolium dubium,Trifolium dubium,accepted,Fabaceae,3.dicot,introduced,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Trifolium repens,Trifolium repens,accepted,Fabaceae,3.dicot,introduced,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,none
Vicia sativa,Vicia sativa,accepted,Fabaceae,3.dicot,introduced,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1966,1975,,,,none
Vicia tetrasperma,Vicia tetrasperma,accepted,Fabaceae,3.dicot,introduced,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1966,1966,,,,none
Viminaria juncea,Viminaria juncea,accepted,Fabaceae,3.dicot,native,34,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1892,1992,2004,2024,,
Zornia dyctiocarpa ,Zornia dyctiocarpa ,accepted,Fabaceae,3.dicot,native,,1,,,1,,,,,,1,XX-not in graphics,"add, needsID observation that likely correct",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,yes_correct
Melianthus major,Melianthus major,accepted,Francoaceae,3.dicot,introduced,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1973,1973,,,,none
Centaurium erythraea,Centaurium erythraea,accepted,Gentianaceae,3.dicot,introduced,,1,,,1,,,,,,1,XX-not in graphics,"add, needsID observation that likely correct",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,yes_correct
Centaurium tenuiflorum,Centaurium tenuiflorum,accepted,Gentianaceae,3.dicot,introduced,2,,,1,,,1,,,,1,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2024,2024,,
Geranium homeanum,Geranium homeanum,accepted,Geraniaceae,3.dicot,native,,1,,,1,,,,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,yes_unsure
Geranium potentilloides,Geranium potentilloides,accepted,Geraniaceae,3.dicot,native,,,1,,,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,1946,1946,,,"I suspect this is a misidentification, probably of solanderi or homeanum, but impossible to confirm or correct without seeing the sheet, so accepting at face value",none
Geranium solanderi,Geranium solanderi,accepted,Geraniaceae,3.dicot,native,,1,1,,1,1,,,1,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,2001,2002,,,"2002 voucher geolocated just outside the park, but inside Royal based on notes",none
Pelargonium australe,Pelargonium australe,accepted,Geraniaceae,3.dicot,native,2,1,,1,1,,1,,,,1,"retain, restricted license","retain, but restricted license",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2021,2021,,
Pelargonium capitatum,Pelargonium capitatum,accepted,Geraniaceae,3.dicot,introduced,1,,,1,,,1,,,,1,retain exact name,retain exact name,XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,2021,2021,,
Pelargonium inodorum,Pelargonium inodorum,accepted,Geraniaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1888,1986,,,,none
Coopernookia barbata,Coopernookia barbata,accepted,Goodeniaceae,3.dicot,native,,,1,,,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",retain exact name,retain exact name,1891,1891,,,"bit of a geographic outlier, but ID seems good looking at the sheet",none
Dampiera purpurea,Dampiera purpurea,accepted,Goodeniaceae,3.dicot,native,12,1,1,1,1,1,1,1,,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1896,1913,2020,2023,,
Dampiera stricta,Dampiera stricta,accepted,Goodeniaceae,3.dicot,native,63,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1888,2012,2004,2023,,
Goodenia bellidifolia,Goodenia bellidifolia,accepted,Goodeniaceae,3.dicot,native,,1,1,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,1892,1980,,,,yes_unsure
Goodenia caroliniana,Goodenia caroliniana,accepted,Goodeniaceae,3.dicot,native,,,,,1,1,,1,,,1,XX-not in graphics,"XX-not in iNat, but occurs in protected area","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name","retain species, replacing taxonomic synonym or misapplied name with accepted name",1914,1969,,,,none
Goodenia caroliniana,Velleia lyrata,synonym,Goodeniaceae,3.dicot,native,,1,1,,synonym,synonym,synonym,,,,,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,XX-synonym,,,,,,
Goodenia dimorpha,Goodenia dimorpha,accepted,Goodeniaceae,3.dicot,native,1,1,1,1,1,1,1,1,1,,1,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,1893,2013,2020,2020,,
